"","plot","sp","cover","accepted_name"
"1200","I117","Erythroniumalbidum",50,"Erythronium albidum"
"1201","I117","Floerkeaproserpinacoides",15,"Floerkea proserpinacoides"
"1202","I117","Galiumaparine",4,"Galium aparine"
"1203","I117","Impatienssp.",2,"Impatiens"
"1204","I117","Alliumcanadense",10,"Allium canadense"
"1205","I117","Saniculagregaria",2,"Sanicula odorata"
"1206","I117","Ranunculushispidus",2,"Ranunculus hispidus"
"1207","I117","Symphyotrichumshortii",2,"Symphyotrichum shortii"
"1208","I124","Geraniummaculatum",8,"Geranium maculatum"
"1209","I124","Erythroniumalbidum",5,"Erythronium albidum"
"1210","I124","Symphyotrichumshortii",4,"Symphyotrichum shortii"
"1211","I124","Sanguinariacanadensis",2,"Sanguinaria canadensis"
"1212","I124","Claytoniavirginica",2,"Claytonia virginica"
"1213","I124","Seedlings",5,""
"1214","I124","Osmorhizaclaytoniana",2,"Osmorhiza claytonii"
"1215","I124","Germaniunmaculatum",8,"Geranium maculatum"
"1216","I124","Erythroniumalbidum",5,"Erythronium albidum"
"1217","I124","Symphyotrichumshortii",4,"Symphyotrichum shortii"
"1218","I124","Sanguinariacanadensis",2,"Sanguinaria canadensis"
"1219","I124","Claytoniavirginica",2,"Claytonia virginica"
"1220","I124","Seedlings",5,""
"1221","I124","Osmorhizaclaytoniana",2,"Osmorhiza claytonii"
"1222","I133","Impatienscapensis",1,"Impatiens capensis"
"1223","I133","Mertensiavirginica",1,"Mertensia virginica"
"1224","I133","Geumcanadense",1,"Geum canadense"
"1225","I133","Acersaccharum",2,"Acer saccharum"
"1226","I133","Erythroniumalbidum",4,"Erythronium albidum"
"1227","I133","Circaealutetiana",1,"Circaea lutetiana"
"1228","I38","Phalarisarundinacea",45,"Phalaris arundinacea"
"1229","II105","Alliariapetiolata",2,"Alliaria petiolata"
"1230","II105","Galiumtriflorum",4,"Galium triflorum"
"1231","II105","Maianthemumracemosum",3,"Maianthemum racemosum"
"1232","II105","Asterericoides",3,"Symphyotrichum ericoides"
"1233","II105","Rubusoccidentalis",5,"Rubus occidentalis"
"1234","II105","Ranunculusabortivus",3,"Ranunculus abortivus"
"1235","II105","Polygonumvirginianum",2,"Polygonum virginianum"
"1236","II105","Carexhirtifolia",2,"Carex hirtifolia"
"1237","II105","Eupatoriumrugosum",2,"Ageratina altissima"
"1238","II122","Osmorhizaclaytonii",4,"Osmorhiza claytonii"
"1239","II122","Geumcanadense",6,"Geum canadense"
"1240","II122","Floerkeaproserpinacoides",40,"Floerkea proserpinacoides"
"1241","II122","Claytoniavirginica",10,"Claytonia virginica"
"1242","II122","Alliumcanadense",3,"Allium canadense"
"1243","II122","Parthenocissusquinquefolia",2,"Parthenocissus quinquefolia"
"1244","II122","Viburnumopulus",2,"Viburnum opulus"
"1245","II122","Fraxinuspennsylvanica",2,"Fraxinus pennsylvanica"
"1246","II122","Acersaccharum",2,"Acer saccharum"
"1247","II122","Circaealutetiana",2,"Circaea lutetiana"
"1248","II130","Loniceramaackii",40,"Lonicera maackii"
"1249","II130","Rhamnuscathartica",6,"Rhamnus cathartica"
"1250","II130","Malussieboldii",3,"Malus sieboldii"
"1251","II130","Acersaccharum",3,"Acer saccharum"
"1252","II130","Rosamultiflora",4,"Rosa multiflora"
"1253","II131","Loniceramaackii",6,"Lonicera maackii"
"1254","II131","Maianthemumracemosum",2,"Maianthemum racemosum"
"1255","II131","Acersaccharum",6,"Acer saccharum"
"1256","II131","Malussieboldii",2,"Malus sieboldii"
"1257","II136","Acersaccharum",30,"Acer saccharum"
"1258","II136","Maianthemumracemosum",4,"Maianthemum racemosum"
"1259","II136","Erythroniumalbidum",1,"Erythronium albidum"
"1260","II142","Geumcanadense",4,"Geum canadense"
"1261","II142","Erythroniumalbidum",1,"Erythronium albidum"
"1262","II142","Impatienscapensis",2,"Impatiens capensis"
"1263","II142","Smilacinaracemosa",2,"Maianthemum racemosum"
"1264","II142","Alliariapetiolata",4,"Alliaria petiolata"
"1265","II142","Floerkeaproserpinacoides",7,"Floerkea proserpinacoides"
"1266","II142","Cammassia?",4,""
"1267","II142","Circaealutetianacanadensis",1,"Circaea lutetiana"
"1268","II142","Camassiascilloides",7,"Camassia scilloides"
"1269","II142","Floerkeaproserpinacoides",5,"Floerkea proserpinacoides"
"1270","II142","Ranunculushispidus",1,"Ranunculus hispidus"
"1271","II142","Alliariapetiolata",3,"Alliaria petiolata"
"1272","II142","Smilacinaracemosa",2,"Maianthemum racemosum"
"1273","II142","Erythroniumalbidum",1,"Erythronium albidum"
"1274","II142","Circaealutetiana",1,"Circaea lutetiana"
"1275","II87","Alliariapetiolata",40,"Alliaria petiolata"
"1276","II87","Claytoniavirginica",15,"Claytonia virginica"
"1277","II87","Circaealutetiana",15,"Circaea lutetiana"
"1278","II87","Impatienssp.",2,"Impatiens"
"1279","II87","Osmorhizasp.",4,"Osmorhiza"
"1280","II87","Parthenocissusquinquefolia",2,"Parthenocissus quinquefolia"
"1281","II87","Eupatoriumrugosum",2,"Ageratina altissima"
"1282","II90","Euonymussp.",5,"Euonymus"
"1283","II90","Impatienssp.",3,"Impatiens"
"1284","II90","Saniculasp.",15,"Sanicula"
"1285","II90","Smilacinaracemosa",3,"Maianthemum racemosum"
"1286","II90","Circaealutetiana",4,"Circaea lutetiana"
"1287","II90","Erythroniumalbidum",5,"Erythronium albidum"
"1288","II90","Galiumaparine",3,"Galium aparine"
"1289","II90","Claytoniavirginica",5,"Claytonia virginica"
"1290","II90","Alliariapetiolata",5,"Alliaria petiolata"
"1291","II90","Ostryavirginiana",0,"Ostrya virginiana"
"1292","II90","Acersaccharum",1,"Acer saccharum"
"1293","II90","Osmorhizasp.",1,"Osmorhiza"
"1294","J110","Cardamineconcatenata",35,"Cardamine concatenata"
"1295","J110","Erythroniumalbidum",10,"Erythronium albidum"
"1296","J110","Prunusvirginiana",2,"Prunus virginiana"
"1297","J110","Alliumburdickii",3,"Allium tricoccum"
"1298","J110","Toxicodendronradicans",2,"Toxicodendron radicans"
"1299","J110","Claytoniavirginica",2,"Claytonia virginica"
"1300","J121","Erythroniumalbidum",15,"Erythronium albidum"
"1301","J121","Galiumaparine",2,"Galium aparine"
"1302","J121","Floerkeaproserpinacoides",10,"Floerkea proserpinacoides"
"1303","J121","Impatienssp.",2,"Impatiens"
"1304","J121","Carexsp.",2,"Carex"
"1305","J121","Agrimoniapubescens",2,"Agrimonia pubescens"
"1306","J121","Alliumcanadense",2,"Allium canadense"
"1307","J121","Erythroniumalbidum",15,"Erythronium albidum"
"1308","J121","Galiumaparine",2,"Galium aparine"
"1309","J121","Floerkeaproserpinacoides",10,"Floerkea proserpinacoides"
"1310","J121","Impatienssp.",2,"Impatiens"
"1311","J121","Carexsp.",2,"Carex"
"1312","J121","Agrimoniapubescens",2,"Agrimonia pubescens"
"1313","J121","Alliumcanadense",2,"Allium canadense"
"1314","J133","Erythroniumalbidum",2,"Erythronium albidum"
"1315","J133","Alliariapetiolata",1,"Alliaria petiolata"
"1316","J133","Circaealutetiana",1,"Circaea lutetiana"
"1317","J133","Impatienscapensis",1,"Impatiens capensis"
"1318","J133","Acersaccharum",5,"Acer saccharum"
"1319","J133","Uvulariagrandiflora",2,"Uvularia grandiflora"
"1320","J133","Toxicondendronradicans",1,"Toxicodendron radicans"
"1321","JJ102","Geumcanadense",4,"Geum canadense"
"1322","JJ102","Galiumcircaezans",4,"Galium circaezans"
"1323","JJ102","Fragariavirginiana",3,"Fragaria virginiana"
"1324","JJ102","Phalarisarundinacea",2,"Phalaris arundinacea"
"1325","JJ102","Taraxacumofficinale",4,"Taraxacum officinale"
"1326","JJ102","Alliariapetiolata",3,"Alliaria petiolata"
"1327","JJ102","Symphyotrichumdrummondii",4,"Symphyotrichum drummondii"
"1328","JJ102","Polygonumvirginianum",3,"Polygonum virginianum"
"1329","JJ102","Carexsp.",2,"Carex"
"1330","JJ102","Unidentifiedsp.",3,""
"1331","JJ102","Prenanthesalba",2,"Prenanthes alba"
"1332","JJ102","Violasp.",2,"Viola"
"1333","JJ102","Solidagoaltissima",4,"Solidago canadensis"
"1334","JJ102","Galiumtriflorum",4,"Galium triflorum"
"1335","JJ105","Dactylisglomerata",2,"Dactylis glomerata"
"1336","JJ105","Solidagoulmifolia",15,"Solidago ulmifolia"
"1337","JJ105","Alliariapetiolata",2,"Alliaria petiolata"
"1338","JJ105","Poasp.",5,"Poa"
"1339","JJ105","Circaealutetiana",1,"Circaea lutetiana"
"1340","JJ105","Polygonumvirginianum",1,"Polygonum virginianum"
"1341","JJ105","Eupatoriumrugosum",2,"Ageratina altissima"
"1342","JJ105","Alliumburdickii",2,"Allium tricoccum"
"1343","JJ111","Circaealutetiana",7,"Circaea lutetiana"
"1344","JJ111","Geraniummaculatum",3,"Geranium maculatum"
"1345","JJ111","Geumcanadense",2,"Geum canadense"
"1346","JJ111","Hackeliavirginiana",2,"Hackelia virginiana"
"1347","JJ111","Arisaematriphyllum",1,"Arisaema triphyllum"
"1348","JJ111","Galiumtriflorum",1,"Galium triflorum"
"1349","JJ111","Trilliumrecurvatum",1,"Trillium recurvatum"
"1350","JJ111","Violasp.",1,"Viola"
"1351","JJ111","Alliariapetiolata",1,"Alliaria petiolata"
"1352","JJ114","Geraniummaculatum",10,"Geranium maculatum"
"1353","JJ114","Anemonellathalictroides",15,"Anemonella thalictroides"
"1354","JJ114","Hackeliavirginiana",5,"Hackelia virginiana"
"1355","JJ114","Smilacinaracemosa",3,"Maianthemum racemosum"
"1356","JJ114","Circaealutetiana",2,"Circaea lutetiana"
"1357","JJ114","Arisaematriphyllum",1,"Arisaema triphyllum"
"1358","JJ114","Acersaccharum",1,"Acer saccharum"
"1359","JJ115","Alliumcanadense",20,"Allium canadense"
"1360","JJ115","Floerkeaproserpinacoides",20,"Floerkea proserpinacoides"
"1361","JJ115","Alliariapetiolata",20,"Alliaria petiolata"
"1362","JJ115","Cardamineconcatenata",8,"Cardamine concatenata"
"1363","JJ115","Geumcanadense",5,"Geum canadense"
"1364","JJ115","Circaealutetiana",1,"Circaea lutetiana"
"1365","JJ115","Geraniummaculatum",5,"Geranium maculatum"
"1366","JJ115","Acersaccharum",1,"Acer saccharum"
"1367","JJ115","Cardamineconcatenata",1,"Cardamine concatenata"
"1368","JJ121","Floerkeaproserpinacoides",20,"Floerkea proserpinacoides"
"1369","JJ121","Impatienssp.",8,"Impatiens"
"1370","JJ121","Circaealutetiana",3,"Circaea lutetiana"
"1371","JJ121","Trilliumrecurvatum",2,"Trillium recurvatum"
"1372","JJ121","Polygonumvirginianum",4,"Polygonum virginianum"
"1373","JJ121","Claytoniavirginica",3,"Claytonia virginica"
"1374","JJ121","Geumcanadense",2,"Geum canadense"
"1375","JJ121","Osmorhizaclaytonii",2,"Osmorhiza claytonii"
"1376","JJ121","Alliariapetiolata",1,"Alliaria petiolata"
"1377","JJ121","Ulmusamericana",20,"Ulmus americana"
"1378","JJ129","Ranunculushispidus",6,"Ranunculus hispidus"
"1379","JJ129","Toxicondendronradicans",6,"Toxicodendron radicans"
"1380","JJ129","Rhamnuscathartica",8,"Rhamnus cathartica"
"1381","JJ129","Phalarisarundinacea",10,"Phalaris arundinacea"
"1382","JJ129","Impatienssp.",2,"Impatiens"
"1383","JJ129","Taraxacumofficinale",2,"Taraxacum officinale"
"1384","JJ129","Loniceramaackii",2,"Lonicera maackii"
"1385","JJ129","Symphyotrichimlateriflorus",2,"Symphyotrichum lateriflorum"
"1386","JJ140","Floerkeaproserpinacoides",5,"Floerkea proserpinacoides"
"1387","JJ140","Impatienscapensis",4,"Impatiens capensis"
"1388","JJ140","Erythroniumalbidum",1,"Erythronium albidum"
"1389","JJ140","Alliariapetiolata",2,"Alliaria petiolata"
"1390","JJ140","Cardamineconcatenata",3,"Cardamine concatenata"
"1391","JJ87","Erythroniumalbidum",35,"Erythronium albidum"
"1392","JJ87","Claytoniavirginica",5,"Claytonia virginica"
"1393","JJ87","Alliariapetiolata",25,"Alliaria petiolata"
"1394","JJ87","Trilliumrecurvatum",3,"Trillium recurvatum"
"1395","JJ87","Saniculasp.",25,"Sanicula"
"1396","JJ87","Impatienssp.",3,"Impatiens"
"1397","JJ87","Eupatoriumrugosum",2,"Ageratina altissima"
"1398","JJ87","Osmorhizasp.",1,"Osmorhiza"
"1399","JJ87","Circaealutetiana",2,"Circaea lutetiana"
"1400","JJ93","Geraniummaculatum",15,"Geranium maculatum"
"1401","JJ93","Erythroniumalbidum",7,"Erythronium albidum"
"1402","JJ93","Saniculasp.",7,"Sanicula"
"1403","JJ93","Alliariapetiolata",15,"Alliaria petiolata"
"1404","JJ93","Claytoniavirginica",10,"Claytonia virginica"
"1405","JJ93","Circaealutetiana",3,"Circaea lutetiana"
"1406","JJ93","Impatienssp.",2,"Impatiens"
"1407","JJ93","Hackeliavirginiana",3,"Hackelia virginiana"
"1408","JJ93","Trilliumrecurvatum",2,"Trillium recurvatum"
"1409","JJ93","Polygonumbiflorum",2,"Polygonatum biflorum"
"1410","JJ93","Geumcanadense",1,"Geum canadense"
"1411","JJ93","Unidentified",2,""
"1412","K105","Cardamineconcatenata",25,"Cardamine concatenata"
"1413","K105","Erythroniumalbidum",15,"Erythronium albidum"
"1414","K105","Toxicodendronradicans",3,"Toxicodendron radicans"
"1415","K105","Anemonequinquefolia",3,"Anemone quinquefolia"
"1416","K105","Claytoniavirginica",3,"Claytonia virginica"
"1417","K105","Alliumsp.",2,"Allium"
"1418","K105","Geraniummaculatum",2,"Geranium maculatum"
"1419","K107","Hydrophyllumvirginianum",3,"Hydrophyllum virginianum"
"1420","K107","Cardamineconcatenata",10,"Cardamine concatenata"
"1421","K107","Erythroniumalbidum",7,"Erythronium albidum"
"1422","K107","Claytoniavirginica",2,"Claytonia virginica"
"1423","K107","Anemonequinquefolia",10,"Anemone quinquefolia"
"1424","K107","Unidentifiedgrass",2,""
"1425","K107","Anemonellathalictroides",2,"Anemonella thalictroides"
"1426","K115","Cardamineconcatenata",30,"Cardamine concatenata"
"1427","K115","Erythroniumalbidum",10,"Erythronium albidum"
"1428","K115","Anemonequinquefolia",1,"Anemone quinquefolia"
"1429","K115","Geraniummaculatum",5,"Geranium maculatum"
"1430","K115","Anemonellathalictroides",4,"Anemonella thalictroides"
"1431","K115","Claytoniavirginica",4,"Claytonia virginica"
"1432","K115","Toxicodendronradicans",2,"Toxicodendron radicans"
"1433","K115","Alliumcanadense",3,"Allium canadense"
"1434","K115","Unidentifiedshrub",5,""
"1435","K116","Cardamineconcatenata",5,"Cardamine concatenata"
"1436","K116","Elymushystrix",2,"Elymus hystrix"
"1437","K116","Erythroniumalbidum",5,"Erythronium albidum"
"1438","K116","Elymusvirginicus",2,"Elymus virginicus"
"1439","K116","Acersaccharum",3,"Acer saccharum"
"1440","K116","Unidentifiedsp.",1,""
"1441","K130","Circaealutetiana",1,"Circaea lutetiana"
"1442","K130","Impatienscapensis",1,"Impatiens capensis"
"1443","K130","Cardamineconcatenata",2,"Cardamine concatenata"
"1444","K130","Carexsp.",2,"Carex"
"1445","K130","Acersaccharum",5,"Acer saccharum"
"1446","K137","Acersaccharum",2,"Acer saccharum"
"1447","K137","Hackeliavirginiana",2,"Hackelia virginiana"
"1448","K137","Cirsiumsp.",1,"Cirsium"
"1449","KK101","Unidentifiedgrass",5,""
"1450","KK101","Circaealutetiana",1,"Circaea lutetiana"
"1451","KK101","Alliariapetiolata",5,"Alliaria petiolata"
"1452","KK101","Rhusradicans",2,"Toxicodendron radicans"
"1453","KK109","Symphyotrichumlateriflorum",4,"Symphyotrichum lateriflorum"
"1454","KK109","Carexhirtifolia",8,"Carex hirtifolia"
"1455","KK109","Carexsp.",12,"Carex"
"1456","KK109","Potentillasimplex",4,"Potentilla simplex"
"1457","KK109","Fragariavirginiana",1,"Fragaria virginiana"
"1458","KK109","Circaealutetiana",1,"Circaea lutetiana"
"1459","KK109","Galiumtriflorum",1,"Galium triflorum"
"1460","KK109","Rhusradicans",2,"Toxicodendron radicans"
"1461","KK109","Arisaematriphyllum",1,"Arisaema triphyllum"
"1462","KK116","Cardamineconcatenata",55,"Cardamine concatenata"
"1463","KK116","Impatienssp.",10,"Impatiens"
"1464","KK116","Alliariapetiolata",5,"Alliaria petiolata"
"1465","KK116","Circaealutetiana",2,"Circaea lutetiana"
"1466","KK116","Polygonumvirginianum",1,"Polygonum virginianum"
"1467","KK116","Geumcanadense",2,"Geum canadense"
"1468","KK116","Unk.composite",1,""
"1469","KK119","Osmorhizaclaytonii",10,"Osmorhiza claytonii"
"1470","KK119","Maianthemumracemosum",10,"Maianthemum racemosum"
"1471","KK119","Sanguinariacanadensis",2,"Sanguinaria canadensis"
"1472","KK119","Trilliumrecurvatum",4,"Trillium recurvatum"
"1473","KK119","Circaealutetiana",10,"Circaea lutetiana"
"1474","KK119","Impatienssp.",6,"Impatiens"
"1475","KK119","Geumcanadense",2,"Geum canadense"
"1476","KK119","Carexsp.",2,"Carex"
"1477","KK119","Alliariapetiolata",2,"Alliaria petiolata"
"1478","KK121","Alliariapetiolata",3,"Alliaria petiolata"
"1479","KK121","Phytolaccaamericana",5,"Phytolacca americana"
"1480","KK121","Polygonumscandens",2,"Fallopia scandens"
"1481","KK121","Hackeliavirginiana",1,"Hackelia virginiana"
"1482","KK121","Floerkeaproserpinacoides",20,"Floerkea proserpinacoides"
"1483","KK121","Ambrosiatrifida",15,"Ambrosia trifida"
"1484","KK121","Celtisoccidentalis",2,"Celtis occidentalis"
"1485","KK121","Solanumdulcamara",2,"Solanum dulcamara"
"1486","KK122","Impatienssp.",8,"Impatiens"
"1487","KK122","Phalarisarundinacea",1,"Phalaris arundinacea"
"1488","KK122","Impatienssp.",4,"Impatiens"
"1489","KK122","Ambrosiatrifida",1,"Ambrosia trifida"
"1490","KK122","Lysimachiaciliata",2,"Lysimachia ciliata"
"1491","KK122","Ranunculushispidus",2,"Ranunculus hispidus"
"1492","KK122","Carexsp.",3,"Carex"
"1493","KK122","Malussieboldii",1,"Malus sieboldii"
"1494","KK122","Rhamnuscathartica",5,"Rhamnus cathartica"
"1495","KK145","Smilacinaracemosa",4,"Maianthemum racemosum"
"1496","KK145","Loniceramaackii",8,"Lonicera maackii"
"1497","KK145","Geraniummaculatum",15,"Geranium maculatum"
"1498","KK145","Alliariapetiolata",8,"Alliaria petiolata"
"1499","KK145","Trilliumrecurvatum",3,"Trillium recurvatum"
"1500","KK145","Acersaccharum",2,"Acer saccharum"
"1501","KK145","Impatienscapensis",3,"Impatiens capensis"
"1502","KK145","Erythroniumalbidum",3,"Erythronium albidum"
"1503","KK145","Thalictrumdioicum",3,"Thalictrum dioicum"
"1504","KK145","Tiliaamericana",1,"Tilia americana"
"1505","L111","Claytoniavirginica",3,"Claytonia virginica"
"1506","L111","Cardamineconcatenata",4,"Cardamine concatenata"
"1507","L111","Loniceramaackii",2,"Lonicera maackii"
"1508","L111","Acersaccharum",2,"Acer saccharum"
"1509","L120","Cardamineconcatenata",20,"Cardamine concatenata"
"1510","L120","Geraniummaculatum",5,"Geranium maculatum"
"1511","L120","Acersaccharum",3,"Acer saccharum"
"1512","L120","Claytoniavirginica",1,"Claytonia virginica"
"1513","L121","Erythroniumalbidum",5,"Erythronium albidum"
"1514","L121","Podophyllumpeltatum",1,"Podophyllum peltatum"
"1515","L121","Cardamineconcatenata",1,"Cardamine concatenata"
"1516","LL103","Hackeliavirginiana",1,"Hackelia virginiana"
"1517","LL103","Circaealutetiana",1,"Circaea lutetiana"
"1518","LL103","Alliariapetiolata",10,"Alliaria petiolata"
"1519","LL103","Bidenssp.",2,"Bidens"
"1520","LL103","Unk.composite",1,""
"1521","LL103","Polygonumvirginianum",1,"Polygonum virginianum"
"1522","LL103","Galiumtriflorum",1,"Galium triflorum"
"1523","LL103","Smilacinaracemosa",1,"Maianthemum racemosum"
"1524","LL103","Symphyotrichumsp.",1,"Symphyotrichum"
"1525","LL103","Unk.Sp.",1,""
"1526","LL103","Rubussp.",1,"Rubus"
"1527","LL103","Tiliaamericana",1,"Tilia americana"
"1528","LL104","Circaealutetiana",4,"Circaea lutetiana"
"1529","LL104","Galiumtriflorum",4,"Galium triflorum"
"1530","LL104","Violasororia",1,"Viola sororia"
"1531","LL104","Arisaematriphyllum",1,"Arisaema triphyllum"
"1532","LL104","Symphyotrichumlateriflorum",2,"Symphyotrichum lateriflorum"
"1533","LL104","Oxalisstricta",1,"Oxalis stricta"
"1534","LL104","Geumcanadense",1,"Geum canadense"
"1535","LL104","Convolvulussp.",1,"Convolvulus"
"1536","LL110","Eupatoriumrugosum",2,"Ageratina altissima"
"1537","LL110","Smilacinaracemosa",4,"Maianthemum racemosum"
"1538","LL110","Violasororia",1,"Viola sororia"
"1539","LL110","Circaealutetiana",4,"Circaea lutetiana"
"1540","LL110","Arisaematriphyllum",3,"Arisaema triphyllum"
"1541","LL110","Hackeliavirginiana",1,"Hackelia virginiana"
"1542","LL110","Geumcanadense",1,"Geum canadense"
"1543","LL110","Alliariapetiolata",20,"Alliaria petiolata"
"1544","LL110","Galiumaparine",1,"Galium aparine"
"1545","LL110","Impatienssp.",1,"Impatiens"
"1546","LL114","Symphyotrichumdrummondii",1,"Symphyotrichum drummondii"
"1547","LL114","Rubussp.",1,"Rubus"
"1548","LL114","Cardamineconcatenata",5,"Cardamine concatenata"
"1549","LL114","Circaealutetiana",2,"Circaea lutetiana"
"1550","LL114","Geumcanadense",2,"Geum canadense"
"1551","LL114","Oxalisstricta",1,"Oxalis stricta"
"1552","LL114","Violasp.",1,"Viola"
"1553","LL114","Hackeliavirginiana",2,"Hackelia virginiana"
"1554","LL114","Unk.composite",1,""
"1555","LL114","Alliariapetiolata",2,"Alliaria petiolata"
"1556","LL114","Osmorhizaclaytonii",1,"Osmorhiza claytonii"
"1557","LL114","Eupatoriumrugosum",2,"Ageratina altissima"
"1558","LL114","Carexsp.",1,"Carex"
"1559","LL114","Symphyotrichumsp.",1,"Symphyotrichum"
"1560","LL114","Smilacinaracemosa",1,"Maianthemum racemosum"
"1561","LL119","Claytoniavirginica",6,"Claytonia virginica"
"1562","LL119","Alliariapetiolata",6,"Alliaria petiolata"
"1563","LL119","Impatienssp.",3,"Impatiens"
"1564","LL119","Euonymusalatus",2,"Euonymus alatus"
"1565","LL122","0",0,""
"1566","LL123","Phalarisarundinacea",10,"Phalaris arundinacea"
"1567","LL128","Acersaccharum",25,"Acer saccharum"
"1568","LL128","Loniceramaackii",25,"Lonicera maackii"
"1569","LL128","Ulmusamericana",2,"Ulmus americana"
"1570","LL133","Parthenocissusquinquefolia",3,"Parthenocissus quinquefolia"
"1571","LL133","Alliariapetiolata",8,"Alliaria petiolata"
"1572","LL133","Erythroniumalbidum",3,"Erythronium albidum"
"1573","LL133","Circaealutetiana",2,"Circaea lutetiana"
"1574","LL133","Ulmusamericana",2,"Ulmus americana"
"1575","LL141","Ranunculusseptentrionalis",5,"Ranunculus hispidus"
"1576","LL141","Cardamineconcatenata",4,"Cardamine concatenata"
"1577","LL141","Alliariapetiolata",4,"Alliaria petiolata"
"1578","LL141","Acersaccharum",6,"Acer saccharum"
"1579","LL141","Loniceramaackii",5,"Lonicera maackii"
"1580","LL141","Viburnumopulus",1,"Viburnum opulus"
"1581","LL141","Prunusvirginiana",10,"Prunus virginiana"
"1582","LL141","Fraxinussp.",5,"Fraxinus"
"1583","LL141","Ranunculushispidus",4,"Ranunculus hispidus"
"1584","LL141","Caryacordiformis",3,"Carya cordiformis"
"1585","LL141","Acersaccharum",5,"Acer saccharum"
"1586","LL141","Alliariapetiolata",1,"Alliaria petiolata"
"1587","LL141","Loniceramaackii",3,"Lonicera maackii"
"1588","LL141","Prunusvirginiana",30,"Prunus virginiana"
"1589","LL141","Fraxinussp.",2,"Fraxinus"
"1590","LL90","Erythroniumalbidum",5,"Erythronium albidum"
"1591","LL90","Trilliumrecurvatum",8,"Trillium recurvatum"
"1592","LL90","Eupatoriumrugosum",2,"Ageratina altissima"
"1593","LL90","Polygonumvirginianum",5,"Polygonum virginianum"
"1594","LL90","Claytoniavirginica",3,"Claytonia virginica"
"1595","LL90","Osm.Sp.",5,""
"1596","LL90","Parthenocissusquinquefolia",3,"Parthenocissus quinquefolia"
"1597","LL90","Saniculasp.",4,"Sanicula"
"1598","LL90","Alliariapetiolata",5,"Alliaria petiolata"
"1599","LL90","Acersaccharum",4,"Acer saccharum"
"1600","LL90","Galiumaparine",2,"Galium aparine"
"1601","LL90","Galiumtriflorum",1,"Galium triflorum"
"1602","LL90","Violasp.",2,"Viola"
"1603","LL90","Impatienssp.",3,"Impatiens"
"1604","LL90","Cardamineconcatenata",1,"Cardamine concatenata"
"1605","LL90","Smilacinaracemosa",3,"Maianthemum racemosum"
"1606","M118","Geraniummaculatum",1,"Geranium maculatum"
"1607","M118","Cardamineconcatenata",10,"Cardamine concatenata"
"1608","M118","Erythroniumalbidum",15,"Erythronium albidum"
"1609","M118","Alliumcanadense",1,"Allium canadense"
"1610","M118","Prunusvirginiana",10,"Prunus virginiana"
"1611","M134","Acersaccharum",1,"Acer saccharum"
"1612","M134","Circaealutetiana",1,"Circaea lutetiana"
"1613","M134","Cardamineconcatenata",1,"Cardamine concatenata"
"1614","M134","Alliariapetiolata",1,"Alliaria petiolata"
"1615","M137","Acersaccharum",2,"Acer saccharum"
"1616","MM108","Glechomahederacea",2,"Glechoma hederacea"
"1617","MM108","Symphyotrichumlateriflorum",1,"Symphyotrichum lateriflorum"
"1618","MM108","Trifoliumrepens",5,"Trifolium repens"
"1619","MM108","Poapratensis",8,"Poa pratensis"
"1620","MM108","Taraxacumofficinale",1,"Taraxacum officinale"
"1621","MM108","Rhamnuscathartica",2,"Rhamnus cathartica"
"1622","MM108","Dactylisglomerata",7,"Dactylis glomerata"
"1623","MM108","Bromusinermis",20,"Bromus inermis"
"1624","MM108","Unidentified",1,""
"1625","MM108","Chrysanthemumleucanthemum",1,"Leucanthemum vulgare"
"1626","MM114","Claytoniavirginica",1,"Claytonia virginica"
"1627","MM114","Circaealutetiana",2,"Circaea lutetiana"
"1628","MM114","Cardamineconcatenata",2,"Cardamine concatenata"
"1629","N110","Dicentracucullaria",3,"Dicentra cucullaria"
"1630","N110","Cardamineconcatenata",6,"Cardamine concatenata"
"1631","N110","Claytoniavirginica",5,"Claytonia virginica"
"1632","N110","Erythroniumalbidum",2,"Erythronium albidum"
"1633","N110","Solidagoflexicaulis",5,"Solidago flexicaulis"
"1634","N110","Geraniummaculatum",25,"Geranium maculatum"
"1635","N113","Cardamineconcatenata",8,"Cardamine concatenata"
"1636","N113","Acersaccharum",3,"Acer saccharum"
"1637","N113","Geraniummaculatum",2,"Geranium maculatum"
"1638","N113","Claytoniavirginica",1,"Claytonia virginica"
"1639","N115","Weatherstation",0,""
"1640","N116","Erythroniumalbidum",2,"Erythronium albidum"
"1641","N116","Dicentracucullaria",3,"Dicentra cucullaria"
"1642","N116","Claytoniavirginica",3,"Claytonia virginica"
"1643","N116","Podophyllumpeltatum",4,"Podophyllum peltatum"
"1644","N116","Solidagoflexicaulis",1,"Solidago flexicaulis"
"1645","N116","Hydrophyllumvirginianum",2,"Hydrophyllum virginianum"
"1646","N116","Asarumcanadense",1,"Asarum canadense"
"1647","N116","Floerkeaproserpinacoides",1,"Floerkea proserpinacoides"
"1648","N116","Acersaccharum",3,"Acer saccharum"
"1649","N116","Saniculagregaria",1,"Sanicula odorata"
"1650","N116","Cardamineconcatenata",1,"Cardamine concatenata"
"1651","N123","Cardamineconcatenata",10,"Cardamine concatenata"
"1652","N123","Anemonellathalictroides",1,"Anemonella thalictroides"
"1653","N128","Solidagoflexicaulis",1,"Solidago flexicaulis"
"1654","N128","Rumexsp.",1,"Rumex"
