,Original_name,Accepted_name,acceptedMOR,checklistMatch,notes,notesBy,noteDate,collectionPriority
310,Phlox divaricata,Phlox divaricata,Phlox divaricata,Phlox divaricata,,,,
311,PHRCAN,Phaca,,#N/A,not sure what is meant by this name… matches no abbreviations in USDA plants,ah,6/27/18,
312,Phryma leptostachya,Phryma leptostachya,Phryma leptostachya,Phryma leptostachya,,,,
313,Physalis species,Physalis,Physalis,#N/A,,,,
314,Physalis virginiana,Physalis virginiana,Physalis virginiana,Physalis virginiana,,,,
315,Phytolacca americana,Phytolacca americana,Phytolacca americana,Phytolacca americana,,,,
316,Picea abies,Picea abies,Picea abies,#N/A,,,,
317,Picea species,Picea,Picea,#N/A,,,,
318,Pilea pumila,Pilea pumila,Pilea pumila,Pilea pumila,,,,
320,Pinus resinosa,Pinus resinosa,Pinus resinosa,#N/A,,,,
321,Pinus sp.,Pinus,Pinus,#N/A,,,,
322,Plantago lanceolata,Plantago lanceolata,Plantago lanceolata,Plantago lanceolata,,,,
323,Plantago rugelii,Plantago rugelii,Plantago rugelii,Plantago rugelii,,,,
324,Poa compressa,Poa compressa,Poa compressa,Poa compressa,,,,
325,Poa pratensis,Poa pratensis,Poa pratensis,Poa pratensis,,,,
326,Poa sp.,Poa,Poa,#N/A,,,,
327,Poa species,Poa,Poa,#N/A,,,,
328,Podophyllum peltatum,Podophyllum peltatum,Podophyllum peltatum,Podophyllum peltatum,,,,
329,POLBIF,Pollia,Polygonatum biflorum,Polygonatum biflorum,code,ah,6/27/18,
330,Polemonium reptans,Polemonium reptans,Polemonium reptans,Polemonium reptans,,,,
331,Polgonatum biflorum,Polygonatum biflorum,Polygonatum biflorum,Polygonatum biflorum,,,,
332,Polygonatum biflorum,Polygonatum biflorum,Polygonatum biflorum,Polygonatum biflorum,,,,
333,Polygonatum canaliculatum,Polygonatum biflorum,Polygonatum biflorum,Polygonatum biflorum,,,,
334,Polygonum biflorum,Polygonatum biflorum,Polygonatum biflorum,Polygonatum biflorum,,,,
335,Polygonum lapathifolium,Persicaria lapathifolia,Persicaria lapathifolia,#N/A,correct -- check name in checklist,ah,6/27/18,
336,Polygonum punctatum,Persicaria punctata,Persicaria punctata,#N/A,correct -- check name in checklist,ah,6/27/18,
337,Polygonum scandens,Fallopia scandens,Fallopia scandens,#N/A,correct -- check name in checklist,ah,6/27/18,
338,Polygonum sp.,Polygonum,Polygonum,#N/A,really only know what clade this goes in… polygonaceae,ah,6/27/18,
339,Polygonum species,Polygonum,Polygonum,#N/A,really only know what clade this goes in… polygonaceae,ah,6/27/18,
340,Polygonum virginianum,Polygonum virginianum,Polygonum virginianum,Polygonum virginianum,,,,
341,Polygonum. Sp.,Polygonum,Polygonum,#N/A,really only know what clade this goes in… polygonaceae,ah,6/27/18,
342,Polypodium virginianum,Polypodium virginianum,Polypodium virginianum,#N/A,,,,
344,Populus deltoides,Populus deltoides,Populus deltoides,Populus deltoides,,,,
345,Populus grandidentata,Populus grandidentata,Populus grandidentata,Populus grandidentata,,,,
346,Populus species,Populus,Populus,#N/A,,,,
347,Potentilla norvegica,Potentilla norvegica,Potentilla norvegica,Potentilla norvegica,,,,
348,Potentilla recta,Potentilla recta,Potentilla recta,Potentilla recta,,,,
349,Potentilla simplex,Potentilla simplex,Potentilla simplex,Potentilla simplex,,,,
350,Prenanthes alba,Nabalus albus,Prenanthes alba,Prenanthes alba,I think Prenanthes alba is the favored name… unsure,ah,6/27/18,
351,Prenanthes species,,Prenanthes,#N/A,,,,
352,Prunella vulgaris,Prunella vulgaris,Prunella vulgaris,Prunella vulgaris,,,,
353,Prunella vulgaris lanceolata,Prunella vulgaris subsp. lanceolata,Prunella vulgaris,Prunella vulgaris,,,,
354,Prunus americana,Prunus americana,Prunus americana,Prunus americana,,,,
355,Prunus serotina,Prunus serotina,Prunus serotina,Prunus serotina,,,,
356,Prunus species,Prunus,Prunus,#N/A,,,,
357,Prunus virginiana,Prunus virginiana,Prunus virginiana,Prunus virginiana,,,,
358,Pruser serotina,,Prunus serotina,Prunus serotina,orthographic error,ah,6/27/18,
359,Pseudotsuga menziesii,Pseudotsuga menziesii,Pseudotsuga menziesii,#N/A,??!!!! REALLY?,ah,6/27/18,
360,Ptelea trifoliata,Ptelea trifoliata,Ptelea trifoliata,Ptelea trifoliata,,,,
361,Quercuas alba,Quercus alba,Quercus alba,Quercus alba,,,,
362,Quercus alb,Quercus alba,Quercus alba,Quercus alba,,,,
363,Quercus alba,Quercus alba,Quercus alba,Quercus alba,,,,
364,Quercus bicolor,Quercus bicolor,Quercus bicolor,#N/A,"ooh, we need a specimen!",,,
365,Quercus coccinea,Quercus coccinea,Quercus ellipsoidalis,Quercus ellipsoidalis,Quercus coccinea is not in our flora,ah,6/27/18,
366,Quercus ellipsoidalis,Quercus ellipsoidalis,Quercus ellipsoidalis,Quercus ellipsoidalis,,,,
367,Quercus macrocarpa,Quercus macrocarpa,Quercus macrocarpa,Quercus macrocarpa,,,,
368,Quercus palustris,Quercus palustris,Quercus palustris,Quercus palustris,,,,
369,Quercus rubra,Quercus rubra,Quercus rubra,Quercus rubra,,,,
370,Quercus sp.,Quercus,Quercus,#N/A,,,,
371,Quercus species,Quercus,Quercus,#N/A,,,,
372,Ranunculus abortivus,Ranunculus abortivus,Ranunculus abortivus,Ranunculus abortivus,,,,
373,Ranunculus ficaria,Ficaria verna,Ficaria verna,#N/A,correct -- check name in checklist,ah,6/27/18,
374,Ranunculus hispidus,Ranunculus hispidus,Ranunculus hispidus,Ranunculus hispidus,,,,
375,Ranunculus hispidus v. nitidus,Ranunculus hispidus,Ranunculus hispidus,Ranunculus hispidus,,,,
376,Ranunculus pensylvanicus,Ranunculus pensylvanicus,Ranunculus pensylvanicus,Ranunculus pensylvanicus,,,,
377,Ranunculus septentrionalis,Ranunculus septentrionalis,Ranunculus hispidus,Ranunculus hispidus,synonym,ah,6/27/18,
378,Ranunculus sp.,Ranunculus,Ranunculus,#N/A,,,,
379,Ranunculus species,Ranunculus,Ranunculus,#N/A,,,,
380,Ratibida pinnata,Ratibida pinnata,Ratibida pinnata,Ratibida pinnata,,,,
381,Rhamnus carthartica,Rhamnus cathartica,Rhamnus cathartica,Rhamnus cathartica,,,,
382,Rhamnus cathartica,Rhamnus cathartica,Rhamnus cathartica,Rhamnus cathartica,,,,
383,Rhamnus frangula,Frangula alnus,Rhamnus frangula,Rhamnus frangula,synonymy is a bit unclear on this one,ah,6/27/18,
384,Rhamnus species,Rhamnus,Rhamnus,#N/A,,,,
385,Rhus glabra,Rhus glabra,Rhus glabra,Rhus glabra,,,,
386,Rhus radicans,Toxicodendron radicans,Toxicodendron radicans,Toxicodendron radicans,,,,
387,Rhus typhina,Rhus typhina,Rhus typhina,Rhus typhina,,,,
388,Ribes missouriense,Ribes missouriense,Ribes missouriense,Ribes missouriense,,,,
389,Ribes sp.,Ribes,Ribes,#N/A,,,,
390,Ribes species,Ribes,Ribes,#N/A,,,,
391,Robinia pseudoacacia,Robinia pseudoacacia,Robinia pseudoacacia,Robinia pseudoacacia,,,,
392,Robinia pseudocacia,Robinia pseudoacacia,Robinia pseudoacacia,Robinia pseudoacacia,,,,
393,Rosa carolina,Rosa carolina,Rosa carolina,Rosa carolina,,,,
394,Rosa multiflora,Rosa multiflora,Rosa multiflora,Rosa multiflora,,,,
395,Rosa sp.,Rosa,Rosa,#N/A,,,,
396,Rosa species,Rosa,Rosa,#N/A,,,,
397,rttf,Ruta,,#N/A,????,ah,6/27/18,
399,Rubus allegheniensis,Rubus allegheniensis,Rubus allegheniensis,Rubus allegheniensis,,,,
402,Rubus occidentalis,Rubus occidentalis,Rubus occidentalis,Rubus occidentalis,,,,
404,Rubus sp.,Rubus,Rubus,#N/A,,,,
405,Rubus species,Rubus,Rubus,#N/A,,,,
406,Rudbeckia hirta,Rudbeckia hirta,Rudbeckia hirta,Rudbeckia hirta,,,,
407,Rumex crispus,Rumex crispus,Rumex crispus,Rumex crispus,,,,
409,Rumex sp.,Rumex,Rumex,#N/A,,,,
410,Salix interior,Salix interior,Salix interior,Salix interior,,,,
411,Salix nigra,Salix nigra,Salix nigra,Salix nigra,,,,
412,Salix sp.,Salix,Salix,#N/A,,,,
413,Sambucus canadensis,Sambucus canadensis,Sambucus canadensis,Sambucus canadensis,,,,
414,Sanguinaria canadensis,Sanguinaria canadensis,Sanguinaria canadensis,Sanguinaria canadensis,,,,
415,Sanicula gregaria,Sanicula gregaria,Sanicula odorata,Sanicula odorata,nomenclature unclear to me,ah,6/27/18,
416,Sanicula sp.,Sanicula,Sanicula,#N/A,,,,
417,Schizachyrium scoparium,Schizachyrium scoparium,Schizachyrium scoparium,Schizachyrium scoparium,,,,
418,Scirpus atrovirens,Scirpus atrovirens,Scirpus atrovirens,Scirpus atrovirens,,,,
419,Scirpus species,Scirpus,Scirpus,#N/A,,,,
420,Scrophularia species,Scrophularia,Scrophularia,#N/A,,,,
421,Scutellaria lateriflora,Scutellaria lateriflora,Scutellaria lateriflora,Scutellaria lateriflora,,,,
422,Sedge species,Sedum,,#N/A,,,,
423,Seedling,,,#N/A,,,,
424,Seedlings,,,#N/A,,,,
425,Setaria species,Setaria,Setaria,#N/A,,,,
426,Shrub species,,,#N/A,,,,
427,Silphium integrifolium,Silphium integrifolium,Silphium integrifolium,Silphium integrifolium,,,,
428,Silphium laciniatum,Silphium laciniatum,Silphium laciniatum,Silphium laciniatum,,,,
429,Sium suave,Sium suave,Sium suave,Sium suave,,,,
430,Smilacina racemosa,Maianthemum racemosum,Maianthemum racemosum,Maianthemum racemosum,,,,
431,Smilacina species,,Maianthemum,#N/A,,,,
432,Smilax illinoensis,Smilax illinoensis,Smilax illinoensis,Smilax illinoensis,,,,
433,Smilax lasioneura,Smilax lasioneura,Smilax lasioneura,Smilax lasioneura,,,,
434,Smilax sp.,Smilax,Smilax,#N/A,,,,
435,Smilax species,Smilax,Smilax,#N/A,,,,
437,Solanum dulcamara,Solanum dulcamara,Solanum dulcamara,Solanum dulcamara,,,,
438,Solanum species,Solanum,Solanum,#N/A,,,,
439,Solidago altissima,Solidago canadensis,Solidago canadensis,#N/A,probably what we are calling S. altissima in the checklist,ah,6/27/18,
440,Solidago canadensis,Solidago canadensis,Solidago canadensis,#N/A,probably what we are calling S. altissima in the checklist,ah,6/27/18,
441,Solidago flexicaulis,Solidago flexicaulis,Solidago flexicaulis,Solidago flexicaulis,,,,
442,Solidago gigantea,Solidago gigantea,Solidago gigantea,Solidago gigantea,,,,
443,Solidago graminifolia,Euthamia graminifolia,Euthamia graminifolia,Euthamia graminifolia,,,,
444,Solidago sp.,Solidago,Solidago,#N/A,,,,
445,Solidago species,Solidago,Solidago,#N/A,,,,
447,Solidago ulmifolia,Solidago ulmifolia,Solidago ulmifolia,Solidago ulmifolia,,,,
448,Solidago. Sp.,Solidago,Solidago,#N/A,,,,
449,Sonchus arvensis,Sonchus arvensis,Sonchus arvensis,Sonchus arvensis,,,,
450,Sonchus asper,Sonchus asper,Sonchus asper,Sonchus asper,,,,
451,Sonchus sp.,,Sonchus,#N/A,,,,
452,Sonchus species,,Sonchus,#N/A,,,,
453,Sorghastrum nutans,Sorghastrum nutans,Sorghastrum nutans,Sorghastrum nutans,,,,
454,Sparganium eurycarpum,Sparganium eurycarpum,Sparganium eurycarpum,Sparganium eurycarpum,,,,
455,Staphylea trifolia,Staphylea trifolia,Staphylea trifolia,Staphylea trifolia,,,,
456,Stylophorum diphyllum,Stylophorum diphyllum,Stylophorum diphyllum,Stylophorum diphyllum,,,,
457,SYMLAT,,Symphyotrichum lateriflorum,#N/A,correct -- check name in checklist,ah,6/28/18,
458,Symphyothrichum,Symphyotrichum,Symphyotrichum,#N/A,correct -- check name in checklist,ah,6/28/18,
459,Symphyotrichim lateriflorus,Symphyotrichum lateriflorum,Symphyotrichum lateriflorum,#N/A,correct -- check name in checklist,ah,6/28/18,
460,Symphyotrichum drummondii,Symphyotrichum drummondii,Symphyotrichum drummondii,#N/A,correct -- check name in checklist,ah,6/28/18,
461,Symphyotrichum lanceolatum,Symphyotrichum lanceolatum,Symphyotrichum lanceolatum,#N/A,correct -- check name in checklist,ah,6/28/18,
462,Symphyotrichum lateriflorum,Symphyotrichum lateriflorum,Symphyotrichum lateriflorum,#N/A,correct -- check name in checklist,ah,6/28/18,
463,Symphyotrichum novae-angliae,Symphyotrichum novae-angliae,Symphyotrichum novae-angliae,#N/A,correct -- check name in checklist,ah,6/28/18,
464,Symphyotrichum pilosum,Symphyotrichum pilosum,Symphyotrichum pilosum,#N/A,correct -- check name in checklist,ah,6/28/18,
465,Symphyotrichum shortii,Symphyotrichum shortii,Symphyotrichum shortii,#N/A,correct -- check name in checklist,ah,6/28/18,
466,Symphyotrichum sp.,Symphyotrichum,Symphyotrichum,#N/A,,,,
467,Taraxacum officinale,Taraxacum campylodes,Taraxacum officinale,Taraxacum officinale,T. campylodes? That's crazy talk,ah,6/27/18,
468,Teucrium canadense,Teucrium canadense,Teucrium canadense,Teucrium canadense,,,,
469,Thalictrum dioicum,Thalictrum dioicum,Thalictrum dioicum,Thalictrum dioicum,,,,
470,Thelypteris palustris,Thelypteris confluens,Thelypteris palustris,#N/A,T. confluens is accepted name per a flora of Madagascar; I blv T. palustris is still the favored name,ah,6/27/18,
471,Tilia americana,Tilia americana,Tilia americana,Tilia americana,,,,
472,Toralos sp.,Torilis,Torilis,#N/A,,,,
474,Toxicodendron radicans,Toxicodendron radicans,Toxicodendron radicans,Toxicodendron radicans,,,,
475,Toxicondendron radicans,Toxicodendron radicans,Toxicodendron radicans,Toxicodendron radicans,,,,
476,Tragopogon dubius,Tragopogon dubius,Tragopogon dubius,Tragopogon dubius,,,,
477,Tragopogon sp.,,Tragopogon,#N/A,,,,
478,Tree species,Trema,,#N/A,,,,
479,Trifolium hybridum,,Trifolium hybridum,Trifolium hybridum,,,,
480,Trifolium pratense,,Trifolium pratense,Trifolium pratense,,,,
481,Trifolium repens,Trifolium repens,Trifolium repens,Trifolium repens,,,,
482,Trillium grandiflorum,Trillium grandiflorum,Trillium grandiflorum,Trillium grandiflorum,,,,
483,Trillium recurvatum,Trillium recurvatum,Trillium recurvatum,Trillium recurvatum,,,,
484,Typha angustifolia,Typha angustifolia,Typha angustifolia,Typha angustifolia,,,,
485,Typha latifolia,Typha latifolia,Typha latifolia,Typha latifolia,,,,
486,Ulmus americana,Ulmus americana,Ulmus americana,Ulmus americana,,,,
487,Ulmus pumila,Ulmus pumila,Ulmus pumila,Ulmus pumila,,,,
488,Ulmus rubra,Ulmus rubra,Ulmus rubra,Ulmus rubra,,,,
489,Ulmus sp.,Ulmus,Ulmus,#N/A,,,,
490,Ulmus species,Ulmus,Ulmus,#N/A,,,,
491,Unidentified,,,#N/A,,,,
492,Unidentified composite,,,#N/A,,,,
493,Unidentified forb,,,#N/A,,,,
494,Unidentified grass,,,#N/A,,,,
495,Unidentified legume,,,#N/A,,,,
496,Unidentified seedling,,,#N/A,,,,
497,Unidentified shrub,,,#N/A,,,,
498,Unidentified sp.,,,#N/A,,,,
499,Unidentified species,,,#N/A,,,,
500,Unidentified species-3-leaved,,,#N/A,,,,
501,Unidentified species-milky sap,,,#N/A,,,,
502,Unidentified species-single leaf,,,#N/A,,,,
503,Unidentified vine,,,#N/A,,,,
504,Unk. composite,,,#N/A,,,,
505,Unk. Composite,,,#N/A,,,,
506,Unk. Forb,,,#N/A,,,,
507,Unk. grass,,,#N/A,,,,
508,Unk. Grass,,,#N/A,,,,
509,Unk. seedling,,,#N/A,,,,
510,Unk. Seedling,,,#N/A,,,,
511,Unk. Seedlings,,,#N/A,,,,
512,Unk. Shrub,,,#N/A,,,,
513,Unk. Snag,,,#N/A,,,,
514,Unk. Sp.,,,#N/A,,,,
515,Unk. Vine,,,#N/A,,,,
516,Unknown,,,#N/A,,,,
517,Urtica dioica,Urtica dioica,Urtica dioica,Urtica dioica,,,,
518,Uvularia grandiflora,Uvularia grandiflora,Uvularia grandiflora,Uvularia grandiflora,,,,
520,Verbesina alternifolia,Verbesina alternifolia,Verbesina alternifolia,Verbesina alternifolia,,,,
522,Veronica sp.,Veronica,Veronica,#N/A,,,,
523,Veronicastrum virginicum,Veronicastrum virginicum,Veronicastrum virginicum,Veronicastrum virginicum,,,,
524,Viburnum dentatum,Viburnum dentatum,Viburnum dentatum,Viburnum dentatum,,,,
525,Viburnum lentago,Viburnum lentago,Viburnum lentago,Viburnum lentago,,,,
526,Viburnum opulus,Viburnum opulus,Viburnum opulus,Viburnum opulus,,,,
527,Viburnum prunifolium,Viburnum prunifolium,Viburnum prunifolium,Viburnum prunifolium,,,,
530,Viburnum sp.,Viburnum,Viburnum,#N/A,,,,
531,Viburnum species,Viburnum,Viburnum,#N/A,,,,
532,Viburnumspecies,,Viburnum,#N/A,,,,
533,Vine seedling,,,#N/A,,,,
534,Vine species,,,#N/A,,,,
535,Viola missouriensis,Viola sororia var. missouriensis,Viola sororia,Viola sororia,,,,
536,Viola pubescens,Viola pubescens,Viola pubescens,Viola pubescens,,,,
537,Viola sororia,Viola sororia,Viola sororia,Viola sororia,,,,
538,Viola sp.,Viola,Viola,#N/A,,,,
539,Viola species,Viola,Viola,#N/A,,,,
540,Vitis riparia,Vitis vulpina,Vitis vulpina,#N/A,correct -- check name in checklist,ah,6/28/18,
541,Vitis sp.,Vitis,Vitis,#N/A,,,,
542,Weather station,,,#N/A,,,,
